downtime_duration_sec,is_burst
5977.0,True
90.0,True
615.0,True
75.0,True
90.0,True
60.0,True
480.0,True
75.0,True
75.0,True
105.0,True
75.0,True
90.0,True
90.0,True
90.0,True
91.0,True
2174.0,True
90.0,True
90.0,True
90.0,True
90.0,True
90.0,True
91.0,True
75.0,True
105.0,True
75.0,True
90.0,True
76.0,True
60.0,True
75.0,True
75.0,True
60.0,True
75.0,True
90.0,True
75.0,True
90.0,True
60.0,True
60.0,True
60.0,True
75.0,True
74.0,True
75.0,True
75.0,True
90.0,True
75.0,True
75.0,True
75.0,True
60.0,True
90.0,True
60.0,True
90.0,True
60.0,True
75.0,True
180.0,True
75.0,False
5985.0,True
75.0,False
75.0,True
75.0,True
61.0,False
3975.0,False
60.0,True
75.0,False
90.0,False
75.0,True
150.0,True
60.0,True
1290.0,True
75.0,False
855.0,True
570.0,True
91.0,False
540.0,True
90.0,False
60.0,True
60.0,True
90.0,True
3305.0,True
60.0,False
59.0,True
60.0,True
90.0,True
210.0,False
240.0,True
240.0,True
60.0,True
480.0,False
60.0,False
75.0,False
510.0,False
149.0,False
7846.0,False
210.0,False
90.0,False
75.0,True
390.0,False
60.0,True
60.0,False
120.0,True
75.0,False
75.0,False
105.0,False
165.0,True
120.0,True
135.0,True
75.0,True
90.0,True
8550.0,True
135.0,False
660.0,True
60.0,True
60.0,True
60.0,True
165.0,False
60.0,True
105.0,False
135.0,True
120.0,True
60.0,False
90.0,False
345.0,True
150.0,False
60.0,False
165.0,False
120.0,True
45.0,True
165.0,True
75.0,True
75.0,True
90.0,True
75.0,True
75.0,False
60.0,False
450.0,False
151.0,True
270.0,False
10575.0,False
405.0,True
570.0,True
105.0,True
90.0,True
90.0,True
90.0,True
60.0,True
90.0,True
90.0,True
180.0,True
90.0,True
90.0,True
75.0,True
105.0,True
75.0,True
90.0,True
90.0,True
105.0,True
255.0,True
89.0,True
720.0,True
285.0,True
90.0,True
60.0,True
90.0,True
75.0,True
75.0,True
585.0,True
90.0,True
135.0,True
90.0,True
60.0,True
105.0,True
60.0,True
90.0,True
90.0,True
90.0,True
90.0,True
120.0,True
74.0,True
120.0,True
75.0,True
450.0,False
120.0,False
120.0,True
195.0,False
3435.0,True
600.0,True
90.0,True
75.0,True
330.0,False
75.0,True
105.0,True
120.0,True
120.0,False
315.0,True
60.0,False
90.0,True
225.0,False
375.0,True
180.0,True
135.0,True
105.0,True
136.0,True
195.0,False
345.0,True
75.0,False
120.0,True
5805.0,True
90.0,True
60.0,True
165.0,False
60.0,True
135.0,True
180.0,True
165.0,False
105.0,False
435.0,False
75.0,False
20990.0,True
2535.0,False
270.0,False
90.0,True
301.0,False
225.0,False
75.0,False
60.0,True
75.0,False
328.0,False
270.0,False
375.0,False
75.0,False
165.0,False
5370.0,True
1245.0,True
105.0,False
120.0,True
3885.0,False
180.0,False
1455.0,False
150.0,False
60.0,False
1200.0,False
2112.0,True
420.0,True
6390.0,True
435.0,True
75.0,False
90.0,False
105.0,False
240.0,False
165.0,False
210.0,False
210.0,True
420.0,False
180.0,True
